name,generation,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,,,,,,,,,,,,,,,,,
Miltank,2,1,Normal,,1.2,75.5,3,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,100,45,70,172,Slow,1,Field,,0,20,1,,,,,,,,,,,,,,,,,
Blissey,2,1,Normal,,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540,255,10,10,55,30,140,608,Fast,1,Fairy,,0,40,1,,,,,,,,,,,,,,,,,
Raikou,2,1,Electric,,1.9,178,2,Pressure,,Inner Focus,580,90,85,75,115,3,35,261,Slow,1,Undiscovered,,,80,1,,,,,,,,,,,,,,,,,
Entei,2,1,Fire,,2.1,198,2,Pressure,,Inner Focus,580,115,115,85,100,3,35,261,Slow,1,Undiscovered,,,80,1,,,,,,,,,,,,,,,,,
Suicune,2,1,Water,,2,187,2,Pressure,,Inner Focus,580,100,75,115,85,3,35,261,Slow,1,Undiscovered,,,80,1,,,,,,,,,,,,,,,,,
Larvitar,2,2,Rock,Ground,0.6,72,2,Guts,,Sand Veil,300,50,64,50,41,45,35,60,Slow,1,Monster,,50,40,0.5,,,,,,,,,,,,,,,,,
Pupitar,2,2,Rock,Ground,1.2,152,1,Shed Skin,,,410,70,84,70,51,45,35,144,Slow,1,Monster,,50,40,0.5,,,,,,,,,,,,,,,,,
Tyranitar,2,2,Rock,Dark,2,202,2,Sand Stream,,Unnerve,600,100,134,110,61,45,35,270,Slow,1,Monster,,50,40,0.5,,,,,,,,,,,,,,,,,
Mega Tyranitar,2,2,Rock,Dark,2.5,255,1,Sand Stream,,,700,100,164,150,71,45,35,315,Slow,1,Monster,,50,40,0.5,,,,,,,,,,,,,,,,,
Lugia,2,2,Psychic,Flying,5.2,216,2,Pressure,,Multiscale,680,106,90,130,110,3,0,306,Slow,1,Undiscovered,,,120,1,,,,,,,,,,,,,,,,,
Ho-oh,2,2,Fire,Flying,3.8,199,2,Pressure,,Regenerator,680,106,130,90,90,3,0,306,Slow,1,Undiscovered,,,120,1,,,,,,,,,,,,,,,,,
Celebi,2,2,Psychic,Grass,0.6,5,1,Natural Cure,,,600,100,100,100,100,45,100,270,Medium Slow,1,Undiscovered,,,120,1,,,,,,,,,,,,,,,,,
Treecko,3,1,Grass,,0.5,5,2,Overgrow,,Unburden,310,40,45,35,70,45,70,62,Medium Slow,2,Dragon,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Grovyle,3,1,Grass,,0.9,21.6,2,Overgrow,,Unburden,405,50,65,45,95,45,70,142,Medium Slow,2,Dragon,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Sceptile,3,1,Grass,,1.7,52.2,2,Overgrow,,Unburden,530,70,85,65,120,45,70,239,Medium Slow,2,Dragon,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Mega Sceptile,3,2,Grass,Dragon,1.9,55.2,1,Lightning Rod,,,630,70,110,75,145,45,70,284,Medium Slow,2,Dragon,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Torchic,3,1,Fire,,0.4,2.5,2,Blaze,,Speed Boost,310,45,60,40,45,45,70,62,Medium Slow,1,Field,,87.5,20,1,,,,,,,,,,,,,,,,,
Combusken,3,2,Fire,Fighting,0.9,19.5,2,Blaze,,Speed Boost,405,60,85,60,55,45,70,142,Medium Slow,1,Field,,87.5,20,1,,,,,,,,,,,,,,,,,
Blaziken,3,2,Fire,Fighting,1.9,52,2,Blaze,,Speed Boost,530,80,120,70,80,45,70,239,Medium Slow,1,Field,,87.5,20,1,,,,,,,,,,,,,,,,,
Mega Blaziken,3,2,Fire,Fighting,1.9,52,1,Speed Boost,,,630,80,160,80,100,45,70,284,Medium Slow,1,Field,,87.5,20,1,,,,,,,,,,,,,,,,,
Mudkip,3,1,Water,,0.4,7.6,2,Torrent,,Damp,310,50,70,50,40,45,70,62,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Marshtomp,3,2,Water,Ground,0.7,28,2,Torrent,,Damp,405,70,85,70,50,45,70,142,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Swampert,3,2,Water,Ground,1.5,81.9,2,Torrent,,Damp,535,100,110,90,60,45,70,241,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Mega Swampert,3,2,Water,Ground,1.9,102,1,Swift Swim,,,635,100,150,110,70,45,70,286,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Poochyena,3,1,Dark,,0.5,13.6,3,Run Away,Quick Feet,Rattled,220,35,55,35,35,255,70,56,Medium Fast,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Mightyena,3,1,Dark,,1,37,3,Intimidate,Quick Feet,Moxie,420,70,90,70,70,127,70,147,Medium Fast,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Zigzagoon,3,1,Normal,,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,60,255,70,56,Medium Fast,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Galarian Zigzagoon,3,2,Dark,Normal,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,60,,,,Medium Fast,1,Field,,,15,1,,,,,,,,,,,,,,,,,
Linoone,3,1,Normal,,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,100,90,70,147,Medium Fast,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Galarian Linoone,3,2,Dark,Normal,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,100,,,,Medium Fast,1,Field,,,15,1,,,,,,,,,,,,,,,,,
Wurmple,3,1,Bug,,0.3,3.6,2,Shield Dust,,Run Away,195,45,45,35,20,255,70,56,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Silcoon,3,1,Bug,,0.6,10,1,Shed Skin,,,205,50,35,55,15,120,70,72,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Beautifly,3,2,Bug,Flying,1,28.4,2,Swarm,,Rivalry,395,60,70,50,65,45,70,178,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Cascoon,3,1,Bug,,0.7,11.5,1,Shed Skin,,,205,50,35,55,15,120,70,72,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Dustox,3,2,Bug,Poison,1.2,31.6,2,Shield Dust,,Compound Eyes,385,60,50,70,65,45,70,173,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Lotad,3,2,Water,Grass,0.5,2.6,3,Swift Swim,Rain Dish,Own Tempo,220,40,30,30,30,255,70,44,Medium Slow,2,Grass,Water 1,50,15,1,,,,,,,,,,,,,,,,,
Lombre,3,2,Water,Grass,1.2,32.5,3,Swift Swim,Rain Dish,Own Tempo,340,60,50,50,50,120,70,119,Medium Slow,2,Grass,Water 1,50,15,1,,,,,,,,,,,,,,,,,
Ludicolo,3,2,Water,Grass,1.5,55,3,Swift Swim,Rain Dish,Own Tempo,480,80,70,70,70,45,70,216,Medium Slow,2,Grass,Water 1,50,15,1,,,,,,,,,,,,,,,,,
Seedot,3,1,Grass,,0.5,4,3,Chlorophyll,Early Bird,Pickpocket,220,40,40,50,30,255,70,44,Medium Slow,2,Field,Grass,50,15,1,,,,,,,,,,,,,,,,,
Nuzleaf,3,2,Grass,Dark,1,28,3,Chlorophyll,Early Bird,Pickpocket,340,70,70,40,60,120,70,119,Medium Slow,2,Field,Grass,50,15,1,,,,,,,,,,,,,,,,,
Shiftry,3,2,Grass,Dark,1.3,59.6,3,Chlorophyll,Early Bird,Pickpocket,480,90,100,60,80,45,70,216,Medium Slow,2,Field,Grass,50,15,1,,,,,,,,,,,,,,,,,
Taillow,3,2,Normal,Flying,0.3,2.3,2,Guts,,Scrappy,270,40,55,30,85,200,70,54,Medium Slow,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Swellow,3,2,Normal,Flying,0.7,19.8,2,Guts,,Scrappy,455,60,85,60,125,45,70,159,Medium Slow,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Wingull,3,2,Water,Flying,0.6,9.5,3,Keen Eye,Hydration,Rain Dish,270,40,30,30,85,190,70,54,Medium Fast,2,Flying,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Pelipper,3,2,Water,Flying,1.2,28,3,Keen Eye,Drizzle,Rain Dish,440,60,50,100,65,45,70,154,Medium Fast,2,Flying,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Ralts,3,2,Psychic,Fairy,0.4,6.6,3,Synchronize,Trace,Telepathy,198,28,25,25,40,235,35,40,Slow,2,Amorphous,Human-Like,50,20,1,,,,,,,,,,,,,,,,,
Kirlia,3,2,Psychic,Fairy,0.8,20.2,3,Synchronize,Trace,Telepathy,278,38,35,35,50,120,35,97,Slow,2,Amorphous,Human-Like,50,20,1,,,,,,,,,,,,,,,,,
Gardevoir,3,2,Psychic,Fairy,1.6,48.4,3,Synchronize,Trace,Telepathy,518,68,65,65,80,45,35,233,Slow,2,Amorphous,Human-Like,50,20,1,,,,,,,,,,,,,,,,,
Mega Gardevoir,3,2,Psychic,Fairy,1.6,48.4,1,Pixilate,,,618,68,85,65,100,45,35,278,Slow,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
Surskit,3,2,Bug,Water,0.5,1.7,2,Swift Swim,,Rain Dish,269,40,30,32,65,200,70,54,Medium Fast,2,Bug,Water 1,50,15,1,,,,,,,,,,,,,,,,,
Masquerain,3,2,Bug,Flying,0.8,3.6,2,Intimidate,,Unnerve,454,70,60,62,80,75,70,159,Medium Fast,2,Bug,Water 1,50,15,1,,,,,,,,,,,,,,,,,
Shroomish,3,1,Grass,,0.4,4.5,3,Effect Spore,Poison Heal,Quick Feet,295,60,40,60,35,255,70,59,Fluctuating,2,Fairy,Grass,50,15,1,,,,,,,,,,,,,,,,,
Breloom,3,2,Grass,Fighting,1.2,39.2,3,Effect Spore,Poison Heal,Technician,460,60,130,80,70,90,70,161,Fluctuating,2,Fairy,Grass,50,15,1,,,,,,,,,,,,,,,,,
Slakoth,3,1,Normal,,0.8,24,1,Truant,,,280,60,60,60,30,255,70,56,Slow,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Vigoroth,3,1,Normal,,1.4,46.5,1,Vital Spirit,,,440,80,80,80,90,120,70,154,Slow,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Slaking,3,1,Normal,,2,130.5,1,Truant,,,670,150,160,100,100,45,70,252,Slow,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Nincada,3,2,Bug,Ground,0.5,5.5,2,Compound Eyes,,Run Away,266,31,45,90,40,255,70,53,Erratic,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Ninjask,3,2,Bug,Flying,0.8,12,2,Speed Boost,,Infiltrator,456,61,90,45,160,120,70,160,Erratic,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Shedinja,3,2,Bug,Ghost,0.8,1.2,1,Wonder Guard,,,236,1,90,45,40,45,70,83,Erratic,1,Mineral,,,15,0,,,,,,,,,,,,,,,,,
Whismur,3,1,Normal,,0.6,16.3,2,Soundproof,,Rattled,240,64,51,23,28,190,70,48,Medium Slow,2,Field,Monster,50,20,1,,,,,,,,,,,,,,,,,
Loudred,3,1,Normal,,1,40.5,2,Soundproof,,Scrappy,360,84,71,43,48,120,70,126,Medium Slow,2,Field,Monster,50,20,1,,,,,,,,,,,,,,,,,
Exploud,3,1,Normal,,1.5,84,2,Soundproof,,Scrappy,490,104,91,63,68,45,70,221,Medium Slow,2,Field,Monster,50,20,1,,,,,,,,,,,,,,,,,
Makuhita,3,1,Fighting,,1,86.4,3,Thick Fat,Guts,Sheer Force,237,72,60,30,25,180,70,47,Fluctuating,1,Human-Like,,75,20,1,,,,,,,,,,,,,,,,,
Hariyama,3,1,Fighting,,2.3,253.8,3,Thick Fat,Guts,Sheer Force,474,144,120,60,50,200,70,166,Fluctuating,1,Human-Like,,75,20,1,,,,,,,,,,,,,,,,,
Azurill,3,2,Normal,Fairy,0.2,2,3,Thick Fat,Huge Power,Sap Sipper,190,50,20,40,20,150,70,38,Fast,1,Undiscovered,,25,10,1,,,,,,,,,,,,,,,,,
Nosepass,3,1,Rock,,1,97,3,Sturdy,Magnet Pull,Sand Force,375,30,45,135,30,255,70,75,Medium Fast,1,Mineral,,50,20,0.5,,,,,,,,,,,,,,,,,
Skitty,3,1,Normal,,0.6,11,3,Cute Charm,Normalize,Wonder Skin,260,50,45,45,50,255,70,52,Fast,2,Fairy,Field,25,15,1,,,,,,,,,,,,,,,,,
Delcatty,3,1,Normal,,1.1,32.6,3,Cute Charm,Normalize,Wonder Skin,400,70,65,65,90,60,70,140,Fast,2,Fairy,Field,25,15,1,,,,,,,,,,,,,,,,,
Sableye,3,2,Dark,Ghost,0.5,11,3,Keen Eye,Stall,Prankster,380,50,75,75,50,45,35,133,Medium Slow,1,Human-Like,,50,25,0,,,,,,,,,,,,,,,,,
Mega Sableye,3,2,Dark,Ghost,0.5,161,1,Magic Bounce,,,480,50,85,125,20,45,35,168,Medium Slow,1,Human-Like,,50,25,0,,,,,,,,,,,,,,,,,
Mawile,3,2,Steel,Fairy,0.6,11.5,3,Hyper Cutter,Intimidate,Sheer Force,380,50,85,85,50,45,70,133,Fast,2,Fairy,Field,50,20,0.5,,,,,,,,,,,,,,,,,
Mega Mawile,3,2,Steel,Fairy,1,23.5,1,Huge Power,,,480,50,105,125,50,45,70,168,Fast,2,Fairy,Field,50,20,0.5,,,,,,,,,,,,,,,,,
Aron,3,2,Steel,Rock,0.4,60,3,Sturdy,Rock Head,Heavy Metal,330,50,70,100,30,180,35,66,Slow,1,Monster,,50,35,0.25,,,,,,,,,,,,,,,,,
Lairon,3,2,Steel,Rock,0.9,120,3,Sturdy,Rock Head,Heavy Metal,430,60,90,140,40,90,35,151,Slow,1,Monster,,50,35,0.25,,,,,,,,,,,,,,,,,
Aggron,3,2,Steel,Rock,2.1,360,3,Sturdy,Rock Head,Heavy Metal,530,70,110,180,50,45,35,239,Slow,1,Monster,,50,35,0.25,,,,,,,,,,,,,,,,,
Mega Aggron,3,1,Steel,,2.2,395,1,Filter,,,630,70,140,230,50,45,35,284,Slow,1,Monster,,50,35,0.5,,,,,,,,,,,,,,,,,
Meditite,3,2,Fighting,Psychic,0.6,11.2,2,Pure Power,,Telepathy,280,30,40,55,60,180,70,56,Medium Fast,1,Human-Like,,50,20,1,,,,,,,,,,,,,,,,,
Medicham,3,2,Fighting,Psychic,1.3,31.5,2,Pure Power,,Telepathy,410,60,60,75,80,90,70,144,Medium Fast,1,Human-Like,,50,20,1,,,,,,,,,,,,,,,,,
Mega Medicham,3,2,Fighting,Psychic,1.3,31.5,1,Pure Power,,,510,60,100,85,100,90,70,179,Medium Fast,1,Human-Like,,50,20,1,,,,,,,,,,,,,,,,,
Electrike,3,1,Electric,,0.6,15.2,3,Static,Lightning Rod,Minus,295,40,45,40,65,120,70,59,Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Manectric,3,1,Electric,,1.5,40.2,3,Static,Lightning Rod,Minus,475,70,75,60,105,45,70,166,Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Mega Manectric,3,1,Electric,,1.8,44,1,Intimidate,,,575,70,75,80,135,45,70,201,Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Plusle,3,1,Electric,,0.4,4.2,2,Plus,,Lightning Rod,405,60,50,40,95,200,70,142,Medium Fast,1,Fairy,,50,20,1,,,,,,,,,,,,,,,,,
Minun,3,1,Electric,,0.4,4.2,2,Minus,,Volt Absorb,405,60,40,50,95,200,70,142,Medium Fast,1,Fairy,,50,20,1,,,,,,,,,,,,,,,,,
Volbeat,3,1,Bug,,0.7,17.7,3,Illuminate,Swarm,Prankster,430,65,73,75,85,150,70,151,Erratic,2,Bug,Human-Like,100,15,1,,,,,,,,,,,,,,,,,
Illumise,3,1,Bug,,0.6,17.7,3,Oblivious,Tinted Lens,Prankster,430,65,47,75,85,150,70,151,Fluctuating,2,Bug,Human-Like,0,15,1,,,,,,,,,,,,,,,,,
Roselia,3,2,Grass,Poison,0.3,2,3,Natural Cure,Poison Point,Leaf Guard,400,50,60,45,65,150,70,140,Medium Slow,2,Fairy,Grass,50,20,1,,,,,,,,,,,,,,,,,
Gulpin,3,1,Poison,,0.4,10.3,3,Liquid Ooze,Sticky Hold,Gluttony,302,70,43,53,40,225,70,60,Fluctuating,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
Swalot,3,1,Poison,,1.7,80,3,Liquid Ooze,Sticky Hold,Gluttony,467,100,73,83,55,75,70,163,Fluctuating,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
Carvanha,3,2,Water,Dark,0.8,20.8,2,Rough Skin,,Speed Boost,305,45,90,20,65,225,35,61,Slow,1,Water 2,,50,20,1,,,,,,,,,,,,,,,,,
Sharpedo,3,2,Water,Dark,1.8,88.8,2,Rough Skin,,Speed Boost,460,70,120,40,95,60,35,161,Slow,1,Water 2,,50,20,1,,,,,,,,,,,,,,,,,
Mega Sharpedo,3,2,Water,Dark,2.5,130.3,1,Strong Jaw,,,560,70,140,70,105,60,35,196,Slow,1,Water 2,,50,20,1,,,,,,,,,,,,,,,,,
Wailmer,3,1,Water,,2,130,3,Water Veil,Oblivious,Pressure,400,130,70,35,60,125,70,80,Fluctuating,2,Field,Water 2,50,40,1,,,,,,,,,,,,,,,,,
Wailord,3,1,Water,,14.5,398,3,Water Veil,Oblivious,Pressure,500,170,90,45,60,60,70,175,Fluctuating,2,Field,Water 2,50,40,1,,,,,,,,,,,,,,,,,
Numel,3,2,Fire,Ground,0.7,24,3,Oblivious,Simple,Own Tempo,305,60,60,40,35,255,70,61,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Camerupt,3,2,Fire,Ground,1.9,220,3,Magma Armor,Solid Rock,Anger Point,460,70,100,70,40,150,70,161,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Mega Camerupt,3,2,Fire,Ground,2.5,320.5,1,Sheer Force,,,560,70,120,100,20,150,70,196,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Torkoal,3,1,Fire,,0.5,80.4,3,White Smoke,Drought,Shell Armor,470,70,85,140,20,90,70,165,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Spoink,3,1,Psychic,,0.7,30.6,3,Thick Fat,Own Tempo,Gluttony,330,60,25,35,60,255,70,66,Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Grumpig,3,1,Psychic,,0.9,71.5,3,Thick Fat,Own Tempo,Gluttony,470,80,45,65,80,60,70,165,Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Spinda,3,1,Normal,,1.1,5,3,Own Tempo,Tangled Feet,Contrary,360,60,60,60,60,255,70,126,Fast,2,Field,Human-Like,50,15,1,,,,,,,,,,,,,,,,,
Trapinch,3,1,Ground,,0.7,15,3,Hyper Cutter,Arena Trap,Sheer Force,290,45,100,45,10,255,70,58,Medium Slow,2,Bug,Dragon,50,20,1,,,,,,,,,,,,,,,,,
Vibrava,3,2,Ground,Dragon,1.1,15.3,1,Levitate,,,340,50,70,50,70,120,70,119,Medium Slow,2,Bug,Dragon,50,20,1,,,,,,,,,,,,,,,,,
Flygon,3,2,Ground,Dragon,2,82,1,Levitate,,,520,80,100,80,100,45,70,234,Medium Slow,2,Bug,Dragon,50,20,1,,,,,,,,,,,,,,,,,
Cacnea,3,1,Grass,,0.4,51.3,2,Sand Veil,,Water Absorb,335,50,85,40,35,190,35,67,Medium Slow,2,Grass,Human-Like,50,20,1,,,,,,,,,,,,,,,,,
Cacturne,3,2,Grass,Dark,1.3,77.4,2,Sand Veil,,Water Absorb,475,70,115,60,55,60,35,166,Medium Slow,2,Grass,Human-Like,50,20,1,,,,,,,,,,,,,,,,,
Swablu,3,2,Normal,Flying,0.4,1.2,2,Natural Cure,,Cloud Nine,310,45,40,60,50,255,70,62,Erratic,2,Dragon,Flying,50,20,1,,,,,,,,,,,,,,,,,
Altaria,3,2,Dragon,Flying,1.1,20.6,2,Natural Cure,,Cloud Nine,490,75,70,90,80,45,70,172,Erratic,2,Dragon,Flying,50,20,1,,,,,,,,,,,,,,,,,
Mega Altaria,3,2,Dragon,Fairy,1.5,20.6,1,Pixilate,,,590,75,110,110,80,45,70,207,Erratic,2,Dragon,Flying,50,20,1,,,,,,,,,,,,,,,,,
Zangoose,3,1,Normal,,1.3,40.3,2,Immunity,,Toxic Boost,458,73,115,60,90,90,70,160,Erratic,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Seviper,3,1,Poison,,2.7,52.5,2,Shed Skin,,Infiltrator,458,73,100,60,65,90,70,160,Fluctuating,2,Dragon,Field,50,20,1,,,,,,,,,,,,,,,,,
Lunatone,3,2,Rock,Psychic,1,168,1,Levitate,,,460,90,55,65,70,45,70,161,Fast,1,Mineral,,,25,0.5,,,,,,,,,,,,,,,,,
Solrock,3,2,Rock,Psychic,1.2,154,1,Levitate,,,460,90,95,85,70,45,70,161,Fast,1,Mineral,,,25,0.5,,,,,,,,,,,,,,,,,
Barboach,3,2,Water,Ground,0.4,1.9,3,Oblivious,Anticipation,Hydration,288,50,48,43,60,190,70,58,Medium Fast,1,Water 2,,50,20,1,,,,,,,,,,,,,,,,,
Whiscash,3,2,Water,Ground,0.9,23.6,3,Oblivious,Anticipation,Hydration,468,110,78,73,60,75,70,164,Medium Fast,1,Water 2,,50,20,1,,,,,,,,,,,,,,,,,
Corphish,3,1,Water,,0.6,11.5,3,Hyper Cutter,Shell Armor,Adaptability,308,43,80,65,35,205,70,62,Fluctuating,2,Water 1,Water 3,50,15,1,,,,,,,,,,,,,,,,,
Crawdaunt,3,2,Water,Dark,1.1,32.8,3,Hyper Cutter,Shell Armor,Adaptability,468,63,120,85,55,155,70,164,Fluctuating,2,Water 1,Water 3,50,15,1,,,,,,,,,,,,,,,,,
Baltoy,3,2,Ground,Psychic,0.5,21.5,1,Levitate,,,300,40,40,55,55,255,70,60,Medium Fast,1,Mineral,,,20,1,,,,,,,,,,,,,,,,,
Claydol,3,2,Ground,Psychic,1.5,108,1,Levitate,,,500,60,70,105,75,90,70,175,Medium Fast,1,Mineral,,,20,1,,,,,,,,,,,,,,,,,
Lileep,3,2,Rock,Grass,1,23.8,2,Suction Cups,,Storm Drain,355,66,41,77,23,45,70,71,Erratic,1,Water 3,,87.5,30,0.5,,,,,,,,,,,,,,,,,
Cradily,3,2,Rock,Grass,1.5,60.4,2,Suction Cups,,Storm Drain,495,86,81,97,43,45,70,173,Erratic,1,Water 3,,87.5,30,0.5,,,,,,,,,,,,,,,,,
Anorith,3,2,Rock,Bug,0.7,12.5,2,Battle Armor,,Swift Swim,355,45,95,50,75,45,70,71,Erratic,1,Water 3,,87.5,30,0.5,,,,,,,,,,,,,,,,,
Armaldo,3,2,Rock,Bug,1.5,68.2,2,Battle Armor,,Swift Swim,495,75,125,100,45,45,70,173,Erratic,1,Water 3,,87.5,30,0.5,,,,,,,,,,,,,,,,,
Feebas,3,1,Water,,0.6,7.4,3,Swift Swim,Oblivious,Adaptability,200,20,15,20,80,255,70,40,Erratic,2,Dragon,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Milotic,3,1,Water,,6.2,162,3,Marvel Scale,Competitive,Cute Charm,540,95,60,79,81,60,70,189,Erratic,2,Dragon,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Castform,3,1,Normal,,0.3,0.8,1,Forecast,,,420,70,70,70,70,45,70,147,Medium Fast,2,Amorphous,Fairy,50,25,1,,,,,,,,,,,,,,,,,
Castform Sunny Form,3,1,Fire,,0.3,0.8,1,Forecast,,,420,70,70,70,70,45,70,147,Medium Fast,2,Amorphous,Fairy,50,25,1,,,,,,,,,,,,,,,,,
Castform Rainy Form,3,1,Water,,0.3,0.8,1,Forecast,,,420,70,70,70,70,45,70,147,Medium Fast,2,Amorphous,Fairy,50,25,1,,,,,,,,,,,,,,,,,
Castform Snowy Form,3,1,Ice,,0.3,0.8,1,Forecast,,,420,70,70,70,70,45,70,147,Medium Fast,2,Amorphous,Fairy,50,25,1,,,,,,,,,,,,,,,,,
Kecleon,3,1,Normal,,1,22,2,Color Change,,Protean,440,60,90,70,40,200,70,154,Medium Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Shuppet,3,1,Ghost,,0.6,2.3,3,Insomnia,Frisk,Cursed Body,295,44,75,35,45,225,35,59,Fast,1,Amorphous,,50,25,0,,,,,,,,,,,,,,,,,
Banette,3,1,Ghost,,1.1,12.5,3,Insomnia,Frisk,Cursed Body,455,64,115,65,65,45,35,159,Fast,1,Amorphous,,50,25,0,,,,,,,,,,,,,,,,,
Mega Banette,3,1,Ghost,,1.2,13,1,Prankster,,,555,64,165,75,75,45,35,194,Fast,1,Amorphous,,50,25,0,,,,,,,,,,,,,,,,,
Duskull,3,1,Ghost,,0.8,15,2,Levitate,,Frisk,295,20,40,90,25,190,35,59,Fast,1,Amorphous,,50,25,0,,,,,,,,,,,,,,,,,
Dusclops,3,1,Ghost,,1.6,30.6,2,Pressure,,Frisk,455,40,70,130,25,90,35,159,Fast,1,Amorphous,,50,25,0,,,,,,,,,,,,,,,,,
Tropius,3,2,Grass,Flying,2,100,3,Chlorophyll,Solar Power,Harvest,460,99,68,83,51,200,70,161,Slow,2,Grass,Monster,50,25,1,,,,,,,,,,,,,,,,,
Chimecho,3,1,Psychic,,0.6,1,1,Levitate,,,455,75,50,80,65,45,70,159,Fast,1,Amorphous,,50,25,1,,,,,,,,,,,,,,,,,
Absol,3,1,Dark,,1.2,47,3,Pressure,Super Luck,Justified,465,65,130,60,75,30,35,163,Medium Slow,1,Field,,50,25,1,,,,,,,,,,,,,,,,,
Mega Absol,3,1,Dark,,1.2,49,1,Magic Bounce,,,565,65,150,60,115,30,35,198,Medium Slow,1,Field,,50,25,1,,,,,,,,,,,,,,,,,
Wynaut,3,1,Psychic,,0.6,14,2,Shadow Tag,,Telepathy,260,95,23,48,23,125,70,52,Medium Fast,1,Undiscovered,,50,20,1,,,,,,,,,,,,,,,,,
Snorunt,3,1,Ice,,0.7,16.8,3,Inner Focus,Ice Body,Moody,300,50,50,50,50,190,70,60,Medium Fast,2,Fairy,Mineral,50,20,1,,,,,,,,,,,,,,,,,
Glalie,3,1,Ice,,1.5,256.5,3,Inner Focus,Ice Body,Moody,480,80,80,80,80,75,70,168,Medium Fast,2,Fairy,Mineral,50,20,1,,,,,,,,,,,,,,,,,
Mega Glalie,3,1,Ice,,2.1,350.2,1,Refrigerate,,,580,80,120,80,100,75,70,203,Medium Fast,2,Fairy,Mineral,50,20,1,,,,,,,,,,,,,,,,,
Spheal,3,2,Ice,Water,0.8,39.5,3,Thick Fat,Ice Body,Oblivious,290,70,40,50,25,255,70,58,Medium Slow,2,Field,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Sealeo,3,2,Ice,Water,1.1,87.6,3,Thick Fat,Ice Body,Oblivious,410,90,60,70,45,120,70,144,Medium Slow,2,Field,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Walrein,3,2,Ice,Water,1.4,150.6,3,Thick Fat,Ice Body,Oblivious,530,110,80,90,65,45,70,239,Medium Slow,2,Field,Water 1,50,20,1,,,,,,,,,,,,,,,,,
